;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
DUQUE DE CAXIAS; 28.033.353,17 ; 18.562.995,44 ; 15.000.149,27 ; 8.910.217,37 ; 4.157.025,81 ; 3.425.089,29 ; 3.362.279,40 ; 3.154.436,46 ; 2.461.058,63 ; 1.964.419,21 ; 1.211.615,34 ; 1.569.961,97 
GUAPIMIRIM; 1.523.048,05 ; 971.056,52 ; 814.560,41 ; 488.736,44 ; 250.249,22 ; 217.344,87 ; 177.649,95 ; 158.122,27 ; 97.617,56 ; 87.762,43 ; 74.445,58 ; 94.090,25 
ITABORAI; 6.769.187,78 ; 4.322.280,72 ; 3.604.630,90 ; 2.077.918,68 ; 1.042.226,50 ; 891.804,95 ; 794.032,79 ; 674.271,25 ; 571.028,21 ; 449.060,41 ; 313.403,08 ; 400.746,53 
ITAGUAI; 4.576.496,83 ; 2.897.863,49 ; 2.440.251,17 ; 1.389.427,45 ; 755.759,79 ; 610.647,07 ; 482.262,79 ; 496.208,11 ; 365.290,15 ; 304.059,93 ; 210.178,94 ; 223.798,51 
JAPERI; 1.299.234,17 ; 837.508,18 ; 644.783,91 ; 404.755,35 ; 222.800,53 ; 197.308,41 ; 186.861,33 ; 169.210,95 ; 140.202,93 ; 86.261,30 ; 64.838,74 ; 89.635,91 
MAGE; 6.429.653,51 ; 4.004.841,87 ; 3.156.300,74 ; 1.769.607,66 ; 1.059.238,27 ; 867.779,50 ; 727.046,54 ; 698.123,32 ; 580.057,62 ; 453.599,70 ; 316.261,21 ; 438.008,69 
MARICA; 6.851.848,46 ; 4.328.894,22 ; 3.741.434,47 ; 2.321.833,79 ; 1.146.816,77 ; 928.894,16 ; 925.492,75 ; 769.810,60 ; 595.821,05 ; 509.688,68 ; 379.139,58 ; 469.141,77 
MESQUITA; 5.574.555,74 ; 3.462.236,91 ; 2.936.237,11 ; 1.640.700,72 ; 802.017,24 ; 696.347,17 ; 617.151,30 ; 589.518,28 ; 431.397,34 ; 336.450,82 ; 187.593,13 ; 324.786,27 
NILOPOLIS; 5.590.676,96 ; 3.480.954,44 ; 2.851.677,62 ; 1.665.692,13 ; 861.965,24 ; 713.197,02 ; 631.018,62 ; 552.389,50 ; 429.674,32 ; 326.033,91 ; 250.758,52 ; 353.624,73 
NITEROI; 62.520.633,99 ; 38.198.281,88 ; 23.153.062,79 ; 13.791.424,43 ; 6.798.918,47 ; 5.694.641,52 ; 5.033.739,07 ; 4.588.124,27 ; 3.491.397,37 ; 2.725.975,15 ; 2.061.939,18 ; 2.336.492,34 
NOVA IGUACU; 23.951.805,46 ; 15.769.729,51 ; 12.200.013,28 ; 7.156.679,17 ; 4.292.206,07 ; 3.666.208,88 ; 3.395.935,58 ; 3.110.354,54 ; 2.260.795,18 ; 1.597.019,50 ; 1.086.487,31 ; 1.432.702,76 
PARACAMBI; 1.784.135,30 ; 1.026.063,97 ; 792.460,03 ; 445.525,17 ; 256.601,58 ; 185.906,24 ; 159.097,12 ; 162.314,02 ; 129.707,60 ; 80.913,88 ; 75.137,44 ; 78.734,08 
QUEIMADOS; 3.202.226,50 ; 1.996.950,71 ; 1.666.270,46 ; 983.164,76 ; 556.049,83 ; 400.673,96 ; 402.216,21 ; 384.316,45 ; 271.781,35 ; 194.995,83 ; 152.559,46 ; 187.911,18 
